moderator (19:50:24 PM):  made it huh :-).
cinthia (19:53:19 PM):  yep!
cinthia (19:53:28 PM):  fortunately i found a ride!
moderator (19:55:10 PM):  nice!
cinthia (20:00:11 PM):  are there more people coming?
moderator (20:01:56 PM):  Yes, there's supposed to be 5 people in group a.
moderator (20:02:03 PM):  hang on a sec...
ted (20:03:30 PM):  i am in.
tia (20:04:01 PM):  Hi everyone.
leah (20:04:01 PM):  hello.
ariel (20:04:03 PM):  hi.
moderator (20:04:10 PM):  Ok you guys may begin now. Just want to check about the leader.
ariel (20:04:13 PM):  gah im always the ugly color!
moderator (20:04:18 PM):  ted would you mind begin the leader today?
tia (20:04:23 PM):  is it the same topic?
ted (20:04:26 PM):  sure.
moderator (20:04:28 PM):  Yes same topic.
cinthia (20:04:31 PM):  where is the topic?
moderator (20:04:32 PM):  Great, thanks!
moderator (20:04:44 PM):  link.
ted (20:04:56 PM):  everyone ready?
tia (20:05:04 PM):  yes.
ariel (20:05:10 PM):  this is a discussion not a race silly.
cinthia (20:05:24 PM):  i have been to europe before... anyone else?
tia (20:05:31 PM):  I have been to Greece twice.
ted (20:05:37 PM):  lucky you. not yet.
ariel (20:05:42 PM):  nope.
ariel (20:05:52 PM):  gonna study abroad next year but thats in asia.
tia (20:06:05 PM):  where have you been cinthia?
cinthia (20:06:14 PM):  all over italy.
cinthia (20:06:18 PM):  and paris.
ted (20:06:24 PM):  i would like to visit rome.
cinthia (20:06:29 PM):  tia... greece is my next stop.
tia (20:06:39 PM):  I would go to Greece again and again and again.
cinthia (20:06:41 PM):  rome was the most amazing place ive ever been....
ariel (20:06:41 PM):  i would want to go to spain.
ted (20:07:03 PM):  lets talk about cities.
ted (20:07:09 PM):  not countries.
tia (20:07:14 PM):  Okay.
tia (20:07:30 PM):  I want to return to Athens, Greece, but Paris is also of interest.
ariel (20:07:31 PM):  So I want to go to Madrid.
cinthia (20:07:47 PM):  Rome, Venice, Paris, Capri.
cinthia (20:07:51 PM):  Athens.
cinthia (20:07:54 PM):  i cant decide.
leah (20:07:59 PM):  rome.
ariel (20:08:00 PM):  man there are so many places to pick from.
ted (20:08:06 PM):  paris is in my list of places to visit.
leah (20:08:12 PM):  way too many.
ariel (20:08:42 PM):  i guess paris.
ariel (20:08:51 PM):  i dun know i dont like french very much.
ariel (20:08:58 PM):  not the people just the langauge.
tia (20:09:21 PM):  Does anyone have a connection to any place through family or ancestry in Europe?
ted (20:09:24 PM):  anyone would like to visit amsterdam?
ariel (20:09:30 PM):  where is that?
tia (20:09:30 PM):  Amsterdam is of interest.
leah (20:09:33 PM):  yes amsterdam.
tia (20:09:47 PM):  Thanks for bringing Amsterdam up. It's in Holland.
ariel (20:09:55 PM):  oh yeah i want to go for sure!
ariel (20:10:05 PM):  lol i have a friend who lives there.
tia (20:10:08 PM):  That's the city where everything goes; more than Paris.
cinthia (20:10:10 PM):  i have family in england.
ariel (20:10:24 PM):  oh Amsterdam's got my vote.
tia (20:10:33 PM):  cinthia, is England of any interest to you for this trip?
cinthia (20:10:51 PM):  ummm... i do really wanna go to london. but not for family lol :-p.
tia (20:11:20 PM):  I'm curious whether we're all approaching this from the same angle, as just some place we'd like to see.
ariel (20:11:21 PM):  So can people list why they want to go?
ariel (20:11:26 PM):  when they say where.
tia (20:11:31 PM):  or if there are biases based on family.
ted (20:12:00 PM):  one city i would like to visit is Kiev,, the capital of Ukraine.
leah (20:12:03 PM):  rome id like to go because of the architecture, along w/ greece.
tia (20:12:05 PM):  I have no family in Europe (unless Lithuania is considered part of Europe).
ted (20:12:06 PM):  it has a lot of history.
ariel (20:12:10 PM):  Well I have a bias because I played world of warcraft with like a zillon dutch people.
ariel (20:12:17 PM):  and so i want to go lol.
tia (20:12:33 PM):  So, none of us is choosing any place because of family or ancestry?
leah (20:12:37 PM):  lol @ariel.
ted (20:12:47 PM):  maybe dublin.
ariel (20:12:48 PM):  Well isent Russia and Germany europe? so i think lithuania is too.
ted (20:13:15 PM):  the best place to in, during st patricks day.
ted (20:13:40 PM):  there are just too many cities to visit !!!
leah (20:13:54 PM):  wayy too many.
cinthia (20:13:54 PM):  russia isnt europe.
cinthia (20:14:06 PM):  i honestly dont know how well decide this.
ted (20:14:09 PM):  russia is in europe.
tia (20:14:11 PM):  Well, then I would have to add in Vilnius, Lithuania as a consideration, but maybe we should define Europe as those countries belonging to the European Union. Lithuania and Russia are not members.
ted (20:14:24 PM):  lithuania is also in europe.
ted (20:14:33 PM):  both countries are in europe.
ariel (20:14:33 PM):  Are you sure russia is not europe? then why are they covering it in detail in my european history class?
ted (20:14:43 PM):  they are not part of european union though.
tia (20:14:46 PM):  On continent of Europe.
leah (20:14:53 PM):  yea russia is in both europe and northenr asia.
cinthia (20:15:04 PM):  i think it is euraisa.
cinthia (20:15:10 PM):  it divides both.
ariel (20:15:12 PM):  so then we cant count england because thats not continental europe.
ariel (20:15:24 PM):  england is an island.
ted (20:15:41 PM):  for this discussion we will include england and russia.
tia (20:15:48 PM):  Ireland and England are part of continent of Europe; broke away from mainland.
tia (20:15:59 PM):  I should say broke apart.
tia (20:16:26 PM):  I'm okay with including England and Russia.
leah (20:16:59 PM):  me too.
ted (20:17:03 PM):  i would like each of us to name a few cities you would like to visit, so that we can discuss about them.
cinthia (20:17:13 PM):  how about we go one at a time too.
cinthia (20:17:17 PM):  so its not a circus.
ariel (20:17:40 PM):  lol.
ariel (20:17:44 PM):  moo?
ted (20:17:46 PM):  madrid?
leah (20:18:09 PM):  rome.
ted (20:18:12 PM):  any body would spend $$$ to go madrid?
cinthia (20:18:22 PM):  no.
tia (20:18:22 PM):  Yes, but not as first choice.
ariel (20:18:26 PM):  same here.
cinthia (20:18:27 PM):  ditto.
leah (20:18:29 PM):  same.
ted (20:18:45 PM):  tia, what is your first choice.
tia (20:19:00 PM):  Probably Athens again. But Amsterdam is intriguing.
tia (20:19:50 PM):  Athens is a wonderful city.
ted (20:19:56 PM):  and for you leah?
leah (20:20:03 PM):  rome.
ted (20:20:21 PM):  why?
leah (20:20:35 PM):  the architecture i think its amazing.
ted (20:21:21 PM):  how about you cinthia, what are your top three choices?
cinthia (20:21:24 PM):  it is leah.
cinthia (20:21:31 PM):  rome, paris, athens.
tia (20:22:17 PM):  cinthia, I think you have to pick one.
cinthia (20:22:42 PM):  he asked for my top 3 choices.
cinthia (20:22:51 PM):  if i had to pick one id pick athens.
tia (20:23:38 PM):  Do you want to advocate for Athens or another city?
ted (20:23:47 PM):  2 out 5 like athens. i personally prefer rome, and then paris.
ted (20:24:19 PM):  only after i visit those 2 i would consider athens.
ted (20:24:36 PM):  could you tell me why you would pick athens over rome?
ariel (20:24:53 PM):  im gonna go grab some munchies brb.
tia (20:25:16 PM):  From what I hear, Rome is crowded and surprisingly, Italian food is outdone by Greek cuisine.
tia (20:25:25 PM):  Also when I think of Rome, I think of Catholicism.
tia (20:25:36 PM):  For me, Athens is the place.
cinthia (20:25:47 PM):  ehhh it is like that.. but i have to disagree tia. the food was amazing in rome.
tia (20:26:13 PM):  Greek people are very friendly, and most speak English as their second language.
tia (20:26:42 PM):  The dollar goes farther in Greece than in many other countries, even though the conversion in Euro is the same. A better bargain.
tia (20:27:17 PM):  I have an interest in Paris, but from what I hear, they like the tourists to speak French.
ted (20:27:24 PM):  they are both old cities, with a lot of history.
leah (20:27:26 PM):  i dont think the fact that someone might not speak their native language should be a deterrent though.
tia (20:27:40 PM):  It goes to how welcomed you feel.
ted (20:27:46 PM):  well parisians tend to be very nationalistic.
tia (20:28:22 PM):  Paris, Athens, and Rome all have wonderful museums.
ted (20:28:23 PM):  and are not always best hosts.
tia (20:28:35 PM):  I don't know about Amsterdam.
ted (20:28:38 PM):  but still i would go to Paris.
cinthia (20:28:47 PM):  agreed.
ariel (20:28:48 PM):  back.
tia (20:28:55 PM):  What intrigues me about Amsterdam is the non-paternalism of the government toward its people.
tia (20:29:14 PM):  In case you don't know, drugs are legal as is prostitution.
ariel (20:29:34 PM):  cool.
leah (20:29:43 PM):  yea i knew that.
tia (20:29:47 PM):  They also allow euthanasia.
ted (20:29:47 PM):  that is what makes it a popular destination.
ariel (20:29:51 PM):  ok Amsterdam is for me!
leah (20:29:53 PM):  mhm.
leah (20:29:55 PM):  haha.
ariel (20:29:58 PM):  book my flight.
ariel (20:30:11 PM):  i can even die there too.
ted (20:30:12 PM):  but all those activities are somewhat regulated.
leah (20:30:21 PM):  yeap.
ariel (20:30:29 PM):  eh so what? I've got tons of cute gamer friends.
ted (20:30:40 PM):  or at least taxed,lol.
leah (20:30:43 PM):  haha.
ariel (20:30:47 PM):  I can just hook-up, party, and play wow.
ariel (20:30:54 PM):  sounds like a vacation to me.
tia (20:31:02 PM):  ted, what did you want to say about regulations?
ariel (20:31:18 PM):  plus they are LOADED in amsterdam.
ariel (20:31:33 PM):  seriously one of my friends on wow has like a maid and like two houses.
cinthia (20:31:47 PM):  what is wow.
cinthia (20:31:50 PM):  sorry i missed that part.
ted (20:31:51 PM):  well, doing drugs, and prostitution are controlled.
ariel (20:31:52 PM):  world of warcraft.
ariel (20:31:59 PM):  lol.
cinthia (20:32:01 PM):  gotcha.
leah (20:32:04 PM):  lol.
cinthia (20:32:19 PM):  so what are our top cities so far.
ted (20:32:25 PM):  prostitures have weekly medical visits.
ariel (20:32:29 PM):  its cool im geeky.
leah (20:32:35 PM):  lol.
ariel (20:32:36 PM):  and im happy with it.
ted (20:32:38 PM):  and there is just so much drugs a person can intake.
tia (20:32:46 PM):  Regulated to protect the people who use drugs and are prostitutes, as well as to prevent the spread of communicable diseases, is what I am aware of.
ariel (20:32:54 PM):  eh well at least when you buy your whore you know shes clean.
ariel (20:33:05 PM):  or he.
tia (20:33:12 PM):  Then, of course, Holland has windmills and wooden shoes.
leah (20:33:19 PM):  lol.
ariel (20:33:24 PM):  dude holland has dutch ppl.
ariel (20:33:28 PM):  dutch ppl are awesome.
ariel (20:33:34 PM):  and they all speak english.
ariel (20:33:38 PM):  in this cute accent.
tia (20:33:43 PM):  Big place for tulips.
ariel (20:33:51 PM):  zomg if you thought like and english accent was cool.
ariel (20:33:56 PM):  you gotta hear these dutch ppl.
