customer_id,gender,date,value,predicted_gender
1000,0,1/1/17 0:11,198.5,1
1001,0,1/1/17 0:29,338,1
1002,1,1/1/17 1:30,733,1
1003,1,1/1/17 1:34,772,1
1004,0,1/1/17 3:11,508,1
1005,1,1/1/17 10:08,338,0
1006,1,1/1/17 15:42,1526.43,1
1007,0,1/1/17 15:59,168,0
1008,0,1/1/17 18:01,207.99,0
1009,1,1/1/17 19:27,283,1
1010,1,1/1/17 19:41,1018,1
1011,1,1/1/17 22:04,596,1
1012,1,1/1/17 22:08,151,0
1013,0,1/1/17 23:51,78,0
1014,1,1/2/17 0:28,98.5,1
1015,0,1/2/17 1:20,255,0
1016,1,1/2/17 1:24,311.39,0
1017,0,1/2/17 1:42,1000,0
1018,0,1/2/17 1:52,274.6,0
1017,0,1/2/17 2:08,186,0
1019,0,1/2/17 2:17,350.2,1
1020,0,1/2/17 2:45,456,1
1021,1,1/2/17 3:18,421.56,1
1022,0,1/2/17 3:36,304.3,0
1023,0,1/2/17 4:07,10,1
1024,1,1/2/17 5:19,747.5,1
1025,0,1/2/17 5:19,301.6,1
1026,0,1/2/17 14:52,316.89,0
1027,0,1/2/17 15:49,10,1
1028,0,1/2/17 16:41,161.5,1
1029,0,1/2/17 17:01,166,0
1030,0,1/2/17 17:37,89,0
1031,0,1/2/17 17:57,226,1
1032,1,1/2/17 18:23,434,1
1033,0,1/2/17 18:54,111.49,1
1034,1,1/2/17 19:33,89,1
1035,0,1/2/17 20:01,10,1
1036,0,1/2/17 20:36,447.85,1
1037,0,1/2/17 21:06,499,1
1038,1,1/2/17 21:29,930,1
1039,0,1/2/17 22:49,295.36,1
1040,0,1/2/17 22:54,247,0
1041,0,1/2/17 23:25,233.2,0
1042,0,1/2/17 23:57,486,1
1043,1,1/3/17 1:02,229.74,1
1044,1,1/3/17 1:47,302.89,1
1045,0,1/3/17 2:13,432,0
1046,0,1/3/17 3:54,10,1
1047,1,1/3/17 5:22,144,1
1048,0,1/3/17 11:24,612,0
1049,0,1/3/17 14:32,392,1
1050,1,1/3/17 15:27,169,1
1051,0,1/3/17 16:47,313,0
1052,1,1/3/17 17:29,307.14,1
1053,0,1/3/17 17:32,298,0
1054,1,1/3/17 19:01,308,1
1055,1,1/3/17 19:18,251.94,1
1008,0,1/3/17 19:23,121.98,0
1056,0,1/3/17 19:40,270.01,1
1057,1,1/3/17 19:45,184.08,1
1058,0,1/3/17 20:07,216,0
1059,1,1/3/17 20:38,200,1
1060,0,1/3/17 20:41,79,1
1061,1,1/3/17 21:06,254.22,1
1060,0,1/3/17 21:14,140.45,1
1062,0,1/3/17 21:29,146,0
1063,1,1/3/17 21:43,312,1
1064,1,1/3/17 21:49,144,1
1065,0,1/3/17 22:15,150,1
1066,1,1/3/17 22:17,89,1
1067,1,1/3/17 22:32,406.9,1
1068,0,1/3/17 22:53,298,1
1069,1,1/3/17 23:09,108,1
1070,0,1/3/17 23:52,338,0
1071,1,1/4/17 0:50,492,1
1072,0,1/4/17 1:07,150.25,1
1073,0,1/4/17 1:16,357.61,1
1074,1,1/4/17 2:28,258,1
1075,1,1/4/17 2:36,270.01,1
1076,0,1/4/17 2:47,166,1
1077,0,1/4/17 3:12,1188.5,0
1078,1,1/4/17 3:36,246.06,1
1079,0,1/4/17 3:44,1476,0
1080,0,1/4/17 3:47,10.86,1
1081,0,1/4/17 4:34,298,1
1082,0,1/4/17 5:32,0,0
1083,0,1/4/17 10:49,267.4,0
1084,1,1/4/17 12:02,863,1
1085,1,1/4/17 12:47,10,1
1086,1,1/4/17 13:56,0,1
1087,0,1/4/17 15:49,268,0
1088,0,1/4/17 16:20,50,0
1089,0,1/4/17 16:36,388,0
1090,0,1/4/17 19:15,98.2,0
1091,0,1/4/17 19:20,118,1
1092,0,1/4/17 19:39,346.5,0
1093,1,1/4/17 19:50,146,1
1094,1,1/4/17 20:59,280.9,0
1095,1,1/4/17 21:21,356,1
1096,0,1/4/17 21:56,629.2,0
1097,0,1/4/17 23:04,1928.93,1
1098,0,1/4/17 23:47,58,1
1099,0,1/5/17 0:55,397.9,0
1100,0,1/5/17 1:06,10.89,1
1101,1,1/5/17 2:50,231.4,1
1102,0,1/5/17 3:02,292,0
1103,0,1/5/17 4:38,198,1
1104,0,1/5/17 4:47,112.6,1
1105,0,1/5/17 5:29,486.1,1
1106,0,1/5/17 13:59,324,1
1107,0,1/5/17 15:32,540.02,0
1108,0,1/5/17 17:17,496,1
1109,1,1/5/17 18:00,142,0
1110,1,1/5/17 18:59,188,1
1111,0,1/5/17 20:01,356,0
1112,1,1/5/17 20:03,258,1
1113,0,1/5/17 21:11,388,1
1114,1,1/5/17 21:41,324.45,1
1115,0,1/5/17 21:43,321.4,1
1116,0,1/5/17 23:21,149,1
1117,1,1/5/17 23:45,118,0
1118,1,1/6/17 0:21,89,1
1119,1,1/6/17 1:05,10,1
1120,1,1/6/17 1:14,111.52,0
1121,0,1/6/17 1:17,806,1
1122,1,1/6/17 1:18,431.15,1
1123,0,1/6/17 1:20,176.8,1
1124,0,1/6/17 1:58,10.89,1
1125,1,1/6/17 2:00,112.6,1
1126,1,1/6/17 2:36,235.17,1
1127,1,1/6/17 3:19,403.6,1
1128,1,1/6/17 4:36,128.5,1
1129,1,1/6/17 5:48,108,1
1130,0,1/6/17 6:38,166,1
1131,0,1/6/17 16:23,168,0
1132,0,1/6/17 16:28,10,1
1133,1,1/6/17 16:59,494.68,1
1134,1,1/6/17 17:25,10,1
1135,0,1/6/17 17:31,454,0
1136,1,1/6/17 18:51,98.5,1
1137,1,1/6/17 19:11,463.82,1
1138,1,1/6/17 19:55,295.6,1
1139,1,1/6/17 20:10,460,1
1140,1,1/6/17 20:27,446,1
1141,0,1/6/17 20:51,272,0
1142,1,1/6/17 21:27,187,1
1075,1,1/6/17 21:33,215.57,1
1143,1,1/6/17 23:37,2007.19,1
1144,1,1/6/17 23:54,158.5,1
1145,1,1/7/17 0:21,480.1,1
1146,1,1/7/17 2:22,76,1
1147,0,1/7/17 4:06,199.02,0
1148,0,1/7/17 4:26,1457.26,0
1149,0,1/7/17 6:48,100,0
1023,0,1/7/17 10:43,166,1
1150,0,1/7/17 12:39,428,0
1151,1,1/7/17 13:56,10,1
1152,0,1/7/17 14:17,388.47,0
